nome,cpf,idade,data_nascimento,endereco,estado,pais
Helena Macedo,785.036.142-35,68,08/11/1956,"Aeroporto Daniel Pereira, 482
Andiroba
21379-319 da Mata da Praia / GO",Roraima,Mongólia
Fernanda Cassiano,789.260.145-76,64,17/01/1961,"Viaduto de Camargo, 443
Lagoinha Leblon
82435-970 Sales / GO",Ceará,Marianas do Norte
Bento Machado,250.461.987-11,29,19/12/1995,"Estação Alana Albuquerque, 33
Apolonia
54058444 Mendes / AP",Acre,Suécia
Maria Clara Abreu,620.194.835-05,66,06/07/1958,"Passarela de Sales, 9
Vila São Dimas
63211205 Cavalcante / MS",Pará,Guatemala
Júlia Vieira,940.718.236-31,21,05/03/2004,"Estrada Mariane Lopes, 41
Lourdes
47240-109 Borges / MT",Sergipe,Singapura
Alexia Souza,147.065.392-34,61,01/11/1963,"Estação da Paz, 36
Santa Efigênia
84932-903 Leão / DF",Roraima,Bulgária
Daniel Moura,924.875.631-09,49,16/02/1976,"Trevo de da Costa, 33
Conjunto Capitão Eduardo
92363-650 Albuquerque / RN",Bahia,Chade
Olivia Sá,527.408.319-60,29,18/08/1995,"Conjunto Mariana Marques, 41
Vila Suzana Segunda Seção
84339-420 Guerra / PI",Santa Catarina,Mali
Sra. Sara Silva,125.476.890-49,62,20/02/1963,"Trevo Raul Sá
Glória
57655771 Monteiro das Pedras / TO",Alagoas,Chipre
Maria Cecília Ribeiro,279.846.015-85,53,08/12/1971,"Residencial de Silveira, 40
Varzea Da Palma
20244622 Martins Verde / MS",Bahia,Usbequistão
